brn,company_name,date_of_deregistration
80010000874880,Nine Associates Limited,2026-08-03
80010004180993,Financial Services Ltd,2026-08-03
80010000659477,Star Group Limited,2026-08-03
80010003691904,Alberta Limited,2026-08-03
80010003844961,M Investments u Limited,2026-08-03
80010004006922,Cooks Caf Limited,2026-08-03
80010002985067,W Crafts And Designers Limited,2026-08-03
80010001163251,Shots Limited,2026-08-03
80010000552848,Wins Co-operation Limited,2026-08-03
80010000137983,Liva Cattle Ranch Ltd,2026-08-03
80010000595828,Mera Logistics Ltd,2026-08-03
80010000461391,Zyege Enterprises Ltd,2026-08-03
80010000669748,Tropical Agro Inputs Ltd,2026-08-03
80010000040339,The Poeple Published By Uganda Press Trust United,2026-08-03
80010000408999,The Montessori Education Centre Kampala Ltd,2026-08-03
80010000191954,Omolo Transporters Ltd,2026-08-03
80010000656891,Muro Investments U Ltd,2026-08-03
80010003832319,Femz Limited,2026-08-03
80010004201188,Take Farmers Association takefa Limited by Guarantee,2026-08-03
80010002453213,St Mk Co Limited,2026-08-03
80010003418034,Smart Technical Contractors Limited,2026-08-03
80010000283597,Rite Care u Limited Formerly bite Care u Lt,2026-08-03
80010003379258,Pride Computers Limited,2026-08-03
80010002933330,Magfra u Limited,2026-08-03
80010000343737,Ladbroke Wholesale u Limited,2026-08-03
80010002819482,Kabaizi Enterprises u Limited,2026-08-03
80010004288410,Gon-fun And Fitness Studio Limited,2026-08-03
80010000358723,Fk Industries Limited,2026-08-03
80010004037712,Bigbets Sports Betting Limited,2026-08-03
80010000509894,Bensus Limited,2026-08-03
80010004244157,Battery World East Africa Limited,2026-08-03
80010003418474,Agri-tech Biz Solutions Limited,2026-08-03
80010000837314,'nbm Super Investments u Limited ',2026-08-03
80010000649085,''m'' Motivational Company Limited,2026-08-03
80010000195440,Nok Construction And Merchandise Ltd,2026-08-03
80010000100524,The Menyas Company Ltd,2026-08-03
80010000053187,Machineries east Africa Ltd,2026-08-03
80010000853107,Ms Kewerimidde Holdings u Limited,2026-08-03
80010000841698,Zziwapa Safaris And Tours Limited,2026-08-03
80010001356821,Zziwa Twaha Uganda Limited,2026-08-03
80010003920367,Zziwa Moses Communications Ltd,2026-08-03
80010002647562,Zziwa Kisero Entreprenuers Association For Development Ltd By Guarantee,2026-08-03
80010003782495,Zziwa Investments Limited,2026-08-03
80010000459233,Zziwa B Combined Technician,2026-08-03
80010004136886,Zziwa Sons Retailers,2026-08-03
80010000048443,Zziwa Brothers Ltd,2026-08-03
80010002473349,Zziru Small Scale Entrepreneurs Association Ltd by Guarantee,2026-08-03
80010000643263,Zzirodi Investments Ltd,2026-08-03
80010000836679,Zzinga Motors Limited,2026-08-03
80010000086577,Zzinga Company Ltd,2026-08-03
80010002949555,Zzindzi u Ltd,2026-08-03
80010000189269,Zzimwe Enterprises Hardwares Construction Ltd,2026-08-03
80010003434047,Zzimwe Sasha International Ltd,2026-08-03
80010004314613,Zzimuka Agency Ltd,2026-08-03
80010000439646,Zzimbe Contractors And Designers Ltd,2026-08-03
80010000910574,Zzimbe And Sons Investment Ltd,2026-08-03
80010004179811,Zzimba Phone World Company Ltd,2026-08-03
80010004244311,Zzest-pi Uganda Ltd,2026-08-03
80010000899093,Zzaazi Pharmacy Limited,2026-08-03
80010004142694,Zypo Financial Services Ltd,2026-08-03
80010000327087,Zypher Zodiane u Ltd,2026-08-03
80010002592769,Zynova Pharmaceuticals u Limited,2026-08-03
80010002592770,Zynova International Limited,2026-08-03
80010000601292,Zynmat Industries Ltd,2026-08-03
80010000932639,Zymat International Limited,2026-08-03
80010003135454,Zylux Enterprises U Ltd,2026-08-03
80010002757466,Zyhmbar Holdings Ltd,2026-08-03
80010003687785,Zyddah Investments Ltd,2026-08-03
80010003088358,Zy Trading U Ltd,2026-08-03
80010003598629,Zy Mobile Co Ltd,2026-08-03
80010003082976,Zxz Investments U Ltd,2026-08-03
80010003105574,Zxl Galaxy International Co Ltd,2026-08-03
80010003067093,Zxg International Investments Ltd,2026-08-03
80010002808982,Zwzt Enterprises u Ltd,2026-08-03
80010000237055,Zwilling Safaris Ltd,2026-08-03
80010003805916,Zwilela Investments Limited,2026-08-03
80010003240776,Zweite Change Ltd,2026-08-03
80010002967487,Zw China International Building And Construction Centre U Ltd,2026-08-03
80010003583468,Zvi Uganda Ltd,2026-08-03
80010003930485,Zuzo Tech Uganda Limited,2026-08-03
80010003568673,Zuuma Business Solutions Ltd,2026-08-03
80010003817920,Zuum Limited,2026-08-03
80010001008758,Zuu Initiatives Limited By Guarantee,2026-08-03
80010000943315,Zutrax Uganda Limited,2026-08-03
80010003646217,Zutima Enterprises Ltd,2026-08-03
80010002659543,Zutco Group Of Companies Ltd,2026-08-03
80010000197150,Zutco Ltd,2026-08-03
80010004305890,Zutan Family Co Ltd,2026-08-03
80010000959211,Zusulu Investments Limited,2026-08-03
80010000999055,Zushan Hardware Limited,2026-08-03
80010003214173,Zuse Systems Ltd,2026-08-03
80010000668630,Zurity Co Ltd,2026-08-03
80010003882622,Zuriel Investments Limited,2026-08-03
80010002708942,Zurich General Construction Services Ltd,2026-08-03
80010000385917,Zurich Forex Bureau Ltd,2026-08-03
80010000099974,Zuria Agricultural Enterprises Ltd,2026-08-03
80010003286200,Zuri Pharma Ug Ltd,2026-08-03
80010002927027,Zuri International Ltd,2026-08-03
80010001006817,Zuri Infotech Limited,2026-08-03
80010000618415,Zuri Holdings U Ltd,2026-08-03
80010003081187,Zuri Consult Ltd,2026-08-03
80010003866851,Zurab Travel Ltd,2026-08-03
80010002650299,Zura Accomodations Limited,2026-08-03
